Internal ID,Name,Code,Value,Product Group,Conditions,Shorten Ebay Title
15,Mens Golf Shirts,MENS TOPS,Mens Golf Shirts,Top,"Brand New 10.0,New,New W/ Logo",
40,Mens Golf Shoe,MENS SHOE,Mens Golf Shoe,Shoes,"Brand New 10.0,New,New W/O Box",
16,Mens Golf Shorts,MENSSHORTS,Mens Golf Shorts,Bottom,"Brand New 10.0,New,New W/ Logo",
14,Mens Golf Sweater,MENS SWEAT,Mens Golf Sweater,Top,"Brand New 10.0,New,New W/ Logo",
82,Mens Long Sleeve Golf Shirts,MENSLONG,Mens Long Sleeve Golf Shirts,Top,"Brand New 10.0,New,New W/ Logo",
83,Mens Short Sleeve Golf Shirts,MENSSHORT,Mens Short Sleeve Golf Shirts,Top,"Brand New 10.0,New,New W/ Logo",
67,Miscellaneous Item,MISC ITEM,Miscellaneous Item,Club,"Average,Below Average,New",
81,Online Gift Card,GIFT,Online Gift Card,,,
115,Performance Tracking System,PTS,Performance Tracking System,Accessory,"Above Average 9.0,Average 8.0,Below Average 7.0,Brand New 10.0,Defective,Fully Functional,Mint 9.5",
111,Ping Golf Accessories,PINGACCESS,Ping Golf Accessories,Accessory,New,
42,Pouch,POUCH,Pouch,Accessory,"Brand New 10.0,New",
113,Promotional discounts,PROMO,Promotional discounts,,,
4,Push and Pull Cart,CART,Push and Pull Cart,Accessory,"Brand New 10.0,New",
17,Putter,PUTTER,Putter,Club,"Above Average 9.0,Average,Average 8.0,Below Average,Below Average 7.0,Mint 9.5,New,Poor 6.0",
62,Putter Headcover,HCPUTTER,Putter Headcover,Headcover,"Above Average 9.0,Average 8.0,Brand New 10.0,Mint 9.5,New",
18,Rangefinder,RANGE,Rangefinder,GpsRange,"Above Average 9.0,Average,Average 8.0,Below Average,Below Average 7.0,Brand New 10.0,Mint 9.5,New,Non Functional",
106,Ryder Cup Accessories,RCACCESS,Ryder Cup Accessories,Accessory,"Brand New 10.0,New",
97,Ryder Cup Driver Headcover,RCDVRHC,Ryder Cup Driver Headcover,Headcover,"Brand New 10.0,New",
98,Ryder Cup Mens Belt,RCMENBELT,Ryder Cup Mens Belt,Accessory,"Brand New 10.0,New",
99,Ryder Cup Mens Hat,RCMENHAT,Ryder Cup Mens Hat,Hat,"Brand New 10.0,New",
88,Ryder Cup Mens Jersey,RCJERSEY,Ryder Cup Mens Jersey,Top,"Brand New 10.0,New",
89,Ryder Cup Mens Long Sleeve,RCMENLSS,Ryder Cup Mens Long Sleeve,Top,"Brand New 10.0,New",
90,Ryder Cup Mens Outerwear,RCMENOUTER,Ryder Cup Mens Outerwear,Top,"Brand New 10.0,New",
91,Ryder Cup Mens Short Sleeve,RCMENSSS,Ryder Cup Mens Short Sleeve,Top,"Brand New 10.0,New",
100,Ryder Cup Mens Socks,RCMENSOCK,Ryder Cup Mens Socks,Accessory,"Brand New 10.0,New",
107,Ryder Cup Mens Sweaters,RCMSWEATER,Ryder Cup Mens Sweaters,Top,"Brand New 10.0,New",
104,Ryder Cup Mens Sweatshirts,RCMSWEAT,Ryder Cup Mens Sweatshirts,Top,"Brand New 10.0,New",
109,Ryder Cup Mens Ties,RCMENTIE,Ryder Cup Mens Ties,Accessory,"Brand New 10.0,New",
92,Ryder Cup Poster,RCPOSTER,Ryder Cup Poster,Accessory,"Brand New 10.0,New",
101,Ryder Cup Putter Headcover,RCPUTTHC,Ryder Cup Putter Headcover,Headcover,"Brand New 10.0,New",
102,Ryder Cup Womens Belt,RCWOMBELT,Ryder Cup Womens Belt,Accessory,"Brand New 10.0,New",
103,Ryder Cup Womens Hat,RCWOMHAT,Ryder Cup Womens Hat,Hat,"Brand New 10.0,New",
93,Ryder Cup Womens Long Sleeve,RCWOMLSS,Ryder Cup Womens Long Sleeve,Top,"Brand New 10.0,New",
94,Ryder Cup Womens Outerwear,RCWOMOUTER,Ryder Cup Womens Outerwear,Top,"Brand New 10.0,New",
110,Ryder Cup Womens Scarf,RCWOMSCARF,Ryder Cup Womens Scarf,Accessory,"Brand New 10.0,New",
96,Ryder Cup Womens Short Sleeve,RCWOMSSS,Ryder Cup Womens Short Sleeve,Top,"Brand New 10.0,New,New W/ Logo",
95,Ryder Cup Womens Sleeveless,RCWOMSLS,Ryder Cup Womens Sleeveless,Top,"Brand New 10.0,New",
108,Ryder Cup Womens Sweaters,RCWSWEATER,Ryder Cup Womens Sweaters,Top,"Brand New 10.0,New",
105,Ryder Cup Womens Sweatshirts,RCWSWEAT,Ryder Cup Womens Sweatshirts,Top,"Brand New 10.0,New",
74,Serivce,SERVICE,Serivce,,,
207,Shag Bag,SHAGBAG,Shag Bag,Bag,"Brand New 10.0,New",
19,Single Iron,SINGLEIRON,Single Iron,Club,"Above Average 9.0,Average,Average 8.0,Below Average,Below Average 7.0,Mint 9.5,New,Poor 6.0",
53,Socks,SOCKS,Socks,Accessory,"Brand New 10.0,New",
44,Staff Bag,STAFFBAG,Staff Bag,Bag,"Above Average 9.0,Average 8.0,Brand New 10.0,Mint 9.5,New,New W/ Logo,Shop Worn",
20,Stand Bag,STANDBAG,Stand Bag,Bag,"Above Average 9.0,Average 8.0,Brand New 10.0,Mint 9.5,New,New W/ Logo,Shop Worn",
301,Sunday Bag,SUNDAYBAG,Sunday Bag,Bag,"Above Average 9.0,Average 8.0,Brand New 10.0,Mint 9.5,New,New W/ Logo,Shop Worn",
116,Swing Analyzer,SWINGA,Swing Analyzer,Accessory,"Above Average 9.0,Average 8.0,Below Average 7.0,Brand New 10.0,Defective,Fully Functional,Mint 9.5",
202,Tip,TIP,Tip,Accessory,"Brand New 10.0,New",
112,Titleist Golf Accessories,TITLACCESS,Titleist Golf Accessories,Accessory,"Brand New 10.0,New",
45,Tool,TOOL,Tool,Accessory,"Brand New 10.0,Mint 9.5,New",
21,Travel Bag,TRAVEL,Travel Bag,Bag,"Above Average 9.0,Average 8.0,Brand New 10.0,Mint 9.5,New,New W/ Logo,Shop Worn",
22,Wedge,WEDGE,Wedge,Club,"Above Average 9.0,Average,Average 8.0,Below Average,Below Average 7.0,Mint 9.5,New,Poor 6.0",
23,Wedge Set,WEDGESET,Wedge Set,Club,"Above Average 9.0,Average 8.0,Below Average 7.0,Mint 9.5,Poor 6.0",
73,Wedge Shaft,WEDGESHAFT,Wedge Shaft,Shaft,"Average 8.0,Mint 9.5,New Uncut,Pull",
77,Weight Kit,WEIGHTKIT,Weight Kit,Accessory,"Mint 9.5,New",
78,Winter Gloves,WINTERGLV,Winter Gloves,Accessory,"Brand New 10.0,New",
50,Womens Bottom,WOMENSBOTT,Womens Bottom,Bottom,"Brand New 10.0,New,New W/ Logo",
205,Womens Eyewear,WOMEYEWEAR,Womens Eyewear,Accessory,"Brand New 10.0,New",
49,Womens Golf Belt,WOMENSBELT,Womens Golf Belt,Accessory,"Brand New 10.0,New",
24,Womens Golf Outerwear,WOMENOUTER,Womens Golf Outerwear,Top,"Brand New 10.0,New,New W/ Logo",
